Cluster_sseqid,ICTV_Realm,ICTV_Kingdom,ICTV_Phylum,ICTV_Subphylum,ICTV_Class,ICTV_Order,ICTV_Suborder,ICTV_Family,ICTV_Subfamily,ICTV_Genus,ICTV_Species,RdRP_id,Taxonid,NR_id,identity,NR_kindom,NR_phylum,NR_class,NR_order,NR_family,NR_genus,NR_species
CJLX30757_Changjiang_astro-like_virus,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,CJLX30757_Changjiang_astro-like_virus,1922764,YP_009336808.1,100,Viruses,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,unclassified Viruses family,unclassified Viruses genus,Changjiang astro-like virus
Jawless_QSMC2427_Dongbei_arctic_lamprey_astrovirus_3_6555bp,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,Jawless_QSMC2427_Dongbei_arctic_lamprey_astrovirus_3_6555bp,2116125,AVM87601.1,99.411,Viruses,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae,unclassified Astroviridae genus,Dongbei arctic lamprey astrovirus 3
Jawless_QSMS17426_Dongbei_arctic_lamprey_astrovirus_4_7513bp,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,Jawless_QSMS17426_Dongbei_arctic_lamprey_astrovirus_4_7513bp,2116126,AVM87148.1,100,Viruses,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae,unclassified Astroviridae genus,Dongbei arctic lamprey astrovirus 4
Jawless_QSMS18873_Dongbei_arctic_lamprey_astrovirus_2_7642bp,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,Jawless_QSMS18873_Dongbei_arctic_lamprey_astrovirus_2_7642bp,2116124,AVM87145.1,99.603,Viruses,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae,unclassified Astroviridae genus,Dongbei arctic lamprey astrovirus 2
Lungfish_FZFYG149406_Western_African_lungfish_astro-like_virus_13169bp,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,Lungfish_FZFYG149406_Western_African_lungfish_astro-like_virus_13169bp,2116421,AVM87136.1,100,Viruses,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,unclassified Viruses family,unclassified Viruses genus,Western African lungfish astro-like virus
QBZ38214.1_European_roller_astrovirus_Coracias_garrulus_401,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,QBZ38214.1_European_roller_astrovirus_Coracias_garrulus_401,2565896,QBZ38214.1,100,Viruses,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae,unclassified Astroviridae genus,European roller astrovirus
QCO31422.1_Passerine_astrovirus_1,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,QCO31422.1_Passerine_astrovirus_1,2576226,QCO31422.1,100,Viruses,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae,unclassified Astroviridae genus,Passerine astrovirus 1
Rayfin_BHFishC188159_Beihai_mudskipper_astro-like_virus_10377bp,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,Rayfin_BHFishC188159_Beihai_mudskipper_astro-like_virus_10377bp,2116128,AVM87121.1,100,Viruses,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,unclassified Viruses family,unclassified Viruses genus,Beihai mudskipper astro-like virus
Rayfin_DSYS1394_Wuhan_japanese_halfbeak_astrovirus_3611bp,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,Rayfin_DSYS1394_Wuhan_japanese_halfbeak_astrovirus_3611bp,2116424,AVM87484.1,100,Viruses,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae,unclassified Astroviridae genus,Wuhan japanese halfbeak astrovirus
Rayfin_DSYS3171_Wuhan_astro-like_virus_9129bp,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,Rayfin_DSYS3171_Wuhan_astro-like_virus_9129bp,2116423,AVM87125.1,100,Viruses,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,unclassified Viruses family,unclassified Viruses genus,Wuhan astro-like virus
Rayfin_GDDSYS282_Guangdong_catfish_astro-like_virus_9512bp,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,Rayfin_GDDSYS282_Guangdong_catfish_astro-like_virus_9512bp,2116333,AVM87132.1,100,Viruses,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,unclassified Viruses family,unclassified Viruses genus,Guangdong catfish astro-like virus
Rayfin_LXMC182963_Beihai_cephalopholis_spiloparaea_astrovirus_6092bp,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,Rayfin_LXMC182963_Beihai_cephalopholis_spiloparaea_astrovirus_6092bp,2116122,AVM87141.1,98.755,Viruses,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae,unclassified Astroviridae genus,Beihai cephalopholis spiloparaea astrovirus
Rayfin_XDXMC10209_Wenling_plagiopsetta_astrovirus_6656bp,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,Rayfin_XDXMC10209_Wenling_plagiopsetta_astrovirus_6656bp,2116120,AVM87176.1,99.818,Viruses,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae,unclassified Astroviridae genus,Wenling plagiopsetta astrovirus
Rayfin_XDXMC21452_Wenling_crossorhombus_astrovirus_2_6973bp,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,Rayfin_XDXMC21452_Wenling_crossorhombus_astrovirus_2_6973bp,2116118,AVM87180.1,99.027,Viruses,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae,unclassified Astroviridae genus,Wenling crossorhombus astrovirus 2
Rayfin_XLXMC35036_Wenling_yellow-striped_sandperch_astrovirus_7417bp,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,Rayfin_XLXMC35036_Wenling_yellow-striped_sandperch_astrovirus_7417bp,2116145,AVM87184.1,99.807,Viruses,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae,unclassified Astroviridae genus,Wenling yellow-striped sandperch astrovirus
Rayfin_XLXMS83193_Wenling_gobies_fish_astro-like_virus_11033bp,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,Rayfin_XLXMS83193_Wenling_gobies_fish_astro-like_virus_11033bp,2116116,AVM87598.1,100,Viruses,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,unclassified Viruses family,unclassified Viruses genus,Wenling gobies fish astro-like virus
Rayfin_XQTMC49337_Wenling_longspine_snipefish_astrovirus_7199bp,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,Rayfin_XQTMC49337_Wenling_longspine_snipefish_astrovirus_7199bp,2116418,AVM87174.1,99.804,Viruses,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae,unclassified Astroviridae genus,Wenling longspine snipefish astrovirus
Rayfin_XQTMC51418_Wenling_bighead_beaked_sandfish_astrovirus_6336bp,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,Rayfin_XQTMC51418_Wenling_bighead_beaked_sandfish_astrovirus_6336bp,2116121,AVM87524.1,99.808,Viruses,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae,unclassified Astroviridae genus,Wenling bighead beaked sandfish astrovirus
Rayfin_XYHYC190343_Wenling_rattails_astrovirus_5_6822bp,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,Rayfin_XYHYC190343_Wenling_rattails_astrovirus_5_6822bp,2116139,AVM87155.1,99.818,Viruses,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae,unclassified Astroviridae genus,Wenling rattails astrovirus 5
Rayfin_XYHYC191403_Wenling_rattails_astrovirus_1_7538bp,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,Rayfin_XYHYC191403_Wenling_rattails_astrovirus_1_7538bp,2116135,AVM87150.1,99.801,Viruses,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae,unclassified Astroviridae genus,Wenling rattails astrovirus 1
Rayfin_XYHYC192174_Wenling_rattails_astrovirus_4_7198bp,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,Rayfin_XYHYC192174_Wenling_rattails_astrovirus_4_7198bp,2116138,AVM87153.1,100,Viruses,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae,unclassified Astroviridae genus,Wenling rattails astrovirus 4
Rayfin_XYXMC57263_Yancheng_grey_stingfish_astrovirus_6774bp,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,Rayfin_XYXMC57263_Yancheng_grey_stingfish_astrovirus_6774bp,2116114,AVM87186.1,99.237,Viruses,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae,unclassified Astroviridae genus,Yancheng grey stingfish astrovirus
Rayfin_YXMC112999_Wenling_pterygotrigla_hemisticta_astrovirus_6230bp,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,Rayfin_YXMC112999_Wenling_pterygotrigla_hemisticta_astrovirus_6230bp,2116419,AVM87158.1,99.39,Viruses,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae,unclassified Astroviridae genus,Wenling pterygotrigla hemisticta astrovirus
Rayfin_YXMC64648_Wenling_lepidotrigla_astrovirus_7426bp,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,Rayfin_YXMC64648_Wenling_lepidotrigla_astrovirus_7426bp,2116417,AVM87156.1,99.612,Viruses,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae,unclassified Astroviridae genus,Wenling lepidotrigla astrovirus
Reptile_GXSXC128985_Guangxi_changeable_lizard_astrovirus_7832bp,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,Reptile_GXSXC128985_Guangxi_changeable_lizard_astrovirus_7832bp,2116115,AVM87190.1,99.848,Viruses,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae,unclassified Astroviridae genus,Guangxi changeable lizard astrovirus
Reptile_LPSF9635_Guangdong_chinese_water_snake_astrovirus_6919bp,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,Reptile_LPSF9635_Guangdong_chinese_water_snake_astrovirus_6919bp,2116148,AVM87609.1,99.666,Viruses,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae,unclassified Astroviridae genus,Guangdong chinese water snake astrovirus
Reptile_LPWC210211_Yili_teratoscincus_roborowskii_astrovirus_7632bp,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,Reptile_LPWC210211_Yili_teratoscincus_roborowskii_astrovirus_7632bp,2116119,AVM87509.1,99.699,Viruses,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae,unclassified Astroviridae genus,Yili teratoscincus roborowskii astrovirus
Reptile_LPXYC174317_Hainan_oriental_leaf-toed_gecko_astrovirus_1_7126bp,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,Reptile_LPXYC174317_Hainan_oriental_leaf-toed_gecko_astrovirus_1_7126bp,2116133,AVM87518.1,99.804,Viruses,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae,unclassified Astroviridae genus,Hainan oriental leaf-toed gecko astrovirus 1
Reptile_LPXYC178500_Hainan_oriental_leaf-toed_gecko_astrovirus_2_4327bp,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,Reptile_LPXYC178500_Hainan_oriental_leaf-toed_gecko_astrovirus_2_4327bp,2116134,AVM87520.1,97.877,Viruses,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae,unclassified Astroviridae genus,Hainan oriental leaf-toed gecko astrovirus 2
Reptile_LPXYF118785_Hainan_astro-like_virus_1_13532bp,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,Reptile_LPXYF118785_Hainan_astro-like_virus_1_13532bp,2116149,AVM87129.1,100,Viruses,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,unclassified Viruses family,unclassified Viruses genus,Hainan astro-like virus 1
Reptile_WHWGC149849_Chinese_broad-headed_pond_turtle_astro-like_virus_9296bp,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,Reptile_WHWGC149849_Chinese_broad-headed_pond_turtle_astro-like_virus_9296bp,2116326,AVM87480.1,100,Viruses,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,unclassified Viruses family,unclassified Viruses genus,Chinese broad-headed pond turtle astro-like virus
Reptile_ZGLXR62176_Guangdong_chinese_water_skink_astrovirus_6683bp,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,Reptile_ZGLXR62176_Guangdong_chinese_water_skink_astrovirus_6683bp,2116130,AVM87522.1,99.847,Viruses,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae,unclassified Astroviridae genus,Guangdong chinese water skink astrovirus
NC_002470_Turkey_astrovirus,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,Avastrovirus,Avastrovirus 1,NC_002470_Turkey_astrovirus,364370,Q9JH69.3,99.609,Viruses,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae,Avastrovirus,Avastrovirus 1
NC_003790_Chicken_astrovirus,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,Avastrovirus,Avastrovirus 2,NC_003790_Chicken_astrovirus,336960,Q9JGF2.1,100,Viruses,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae,Avastrovirus,Avastrovirus 2
NC_005790_Turkey_astrovirus_2,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,Avastrovirus,Avastrovirus 3,NC_005790_Turkey_astrovirus_2,1239439,AAF60952.1,100,Viruses,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae,Avastrovirus,Avastrovirus 3
NC_012437_Duck_astrovirus,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,Avastrovirus,,NC_012437_Duck_astrovirus,622438,YP_002728002.1,100,Viruses,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae,Avastrovirus,Duck astrovirus GII.A
NC_001943_Human_astrovirus,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,Mamastrovirus,Mamastrovirus 1,NC_001943_Human_astrovirus,12456,Q67726.1,100,Viruses,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae,Mamastrovirus,Mamastrovirus 1
NC_002469_Ovine_astrovirus,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,Mamastrovirus,Mamastrovirus 13,NC_002469_Ovine_astrovirus,1239577,Q9JH66.2,100,Viruses,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae,Mamastrovirus,Mamastrovirus 13
NC_004579_Mink_astrovirus,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,Mamastrovirus,Mamastrovirus 10,NC_004579_Mink_astrovirus,1239574,Q80KJ7.2,98.482,Viruses,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae,Mamastrovirus,Mamastrovirus 10
NC_011400_Astrovirus_MLB1,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,Mamastrovirus,Mamastrovirus 6,NC_011400_Astrovirus_MLB1,568715,QQM16406.1,99.012,Viruses,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae,Mamastrovirus,Astrovirus MLB1
NC_013060_Astrovirus_VA1,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,Mamastrovirus,Mamastrovirus 9,NC_013060_Astrovirus_VA1,645687,YP_003090286.1,99.055,Viruses,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae,Mamastrovirus,Mamastrovirus 9
NC_015935_Mouse_astrovirus,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,Mamastrovirus,,,,,,,,,,,,
NC_016155_Astrovirus_MLB2,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,Mamastrovirus,,NC_016155_Astrovirus_MLB2,683172,APB03098.1,99.804,Viruses,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae,unclassified Astroviridae genus,Astrovirus MLB2
NC_016896_Astrovirus_wild_boar,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,Mamastrovirus,,NC_016896_Astrovirus_wild_boar,1137931,YP_005271208.1,100,Viruses,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae,Mamastrovirus,Astrovirus wild boar/WBAstV-1/2011/HUN
NC_018669_Astrovirus_VA2,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,Mamastrovirus,,NC_018669_Astrovirus_VA2,683173,ACX69838.1,100,Viruses,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae,Mamastrovirus,HMO Astrovirus A
NC_018702_Murine_astrovirus,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,Mamastrovirus,,NC_018702_Murine_astrovirus,1141625,USL90209.1,99.006,Viruses,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae,unclassified Astroviridae genus,Murine astrovirus
NC_019026_Astrovirus_VA3,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,Mamastrovirus,,NC_019026_Astrovirus_VA3,683174,YP_006905859.1,100,Viruses,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae,unclassified Astroviridae genus,Astrovirus VA3
NC_019027_Astrovirus_VA4,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,Mamastrovirus,,NC_019027_Astrovirus_VA4,1247113,YP_006905856.1,100,Viruses,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae,unclassified Astroviridae genus,Astrovirus VA4
NC_019028_Astrovirus_MLB3,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,Mamastrovirus,,NC_019028_Astrovirus_MLB3,1247114,YP_006905853.1,100,Viruses,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae,unclassified Astroviridae genus,Astrovirus MLB3
NC_019494_Porcine_astrovirus_3,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,Mamastrovirus,,NC_019494_Porcine_astrovirus_3,1254425,YP_007003830.1,100,Viruses,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae,Mamastrovirus,Porcine astrovirus 3
NC_022249_Feline_astrovirus_2,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,Mamastrovirus,,NC_022249_Feline_astrovirus_2,1389204,YP_008519301.1,98.851,Viruses,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae,Mamastrovirus,Feline astrovirus 2
NC_023632_Bovine_astrovirus_B170,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,Mamastrovirus,,NC_023632_Bovine_astrovirus_B170,1027244,YP_009010952.1,99.802,Viruses,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae,Mamastrovirus,Bovine astrovirus B170/HK
NC_023636_Porcine_astrovirus_5,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,Mamastrovirus,,NC_023636_Porcine_astrovirus_5,1093928,YP_009010968.1,99.604,Viruses,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae,unclassified Astroviridae genus,Porcine astrovirus 5
