Cluster_sseqid,Cluster_taxon,Human,Vertebrates,Plant,Realm,Kingdom,Phylum,Subphylum,Class,Order,Suborder,Family,Subfamily,Genus,Species,,SuperGroup,Taxon_set
UXX34097.1_Pseudostellaria_heterophylla_carlavirus_1_Pseudostellaria_heterophylla_2025,Betaflexiviridae,0,0,1,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,,Hepe-Virga,Riboviria|Orthornavirae|Kitrinoviricota||Alsuviricetes|Tymovirales||Betaflexiviridae|Quinvirinae|Carlavirus|
WCC72446.1_Rose_virus_B_Rosa_sp._1985,Betaflexiviridae,0,0,1,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,,Hepe-Virga,Riboviria|Orthornavirae|Kitrinoviricota||Alsuviricetes|Tymovirales||Betaflexiviridae|Quinvirinae|Carlavirus|
YP_009268859.1_Yacon_virus_A_2081,Betaflexiviridae,0,0,1,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,Tymovirales,,Betaflexiviridae,Trivirinae,Capillovirus,,,Hepe-Virga,Riboviria|Orthornavirae|Kitrinoviricota||Alsuviricetes|Tymovirales||Betaflexiviridae|Trivirinae|Capillovirus|
YP_009552718.1_Blackberry_virus_A_1676,Betaflexiviridae,0,0,1,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,Tymovirales,,Betaflexiviridae,Trivirinae,Vitivirus,Blackberry virus A,,Hepe-Virga,Riboviria|Orthornavirae|Kitrinoviricota||Alsuviricetes|Tymovirales||Betaflexiviridae|Trivirinae|Vitivirus|Blackberry virus A
YP_009664734.1_Cucumber_vein-clearing_virus_878,Betaflexiviridae,0,0,1,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,Cucumber vein-clearing virus,,Hepe-Virga,Riboviria|Orthornavirae|Kitrinoviricota||Alsuviricetes|Tymovirales||Betaflexiviridae|Quinvirinae|Carlavirus|Cucumber vein-clearing virus
bromo_NP_041197_Brome_mosaic_virus,Bromoviridae,0,0,1,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,Martellivirales,,Bromoviridae,,Bromovirus,Brome mosaic virus,,Hepe-Virga,Riboviria|Orthornavirae|Kitrinoviricota||Alsuviricetes|Martellivirales||Bromoviridae||Bromovirus|Brome mosaic virus
bromo_NP_049324_Cucumber_mosaic_virus,Bromoviridae,0,0,1,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,Martellivirales,,Bromoviridae,,Cucumovirus,Cucumber mosaic virus,,Hepe-Virga,Riboviria|Orthornavirae|Kitrinoviricota||Alsuviricetes|Martellivirales||Bromoviridae||Cucumovirus|Cucumber mosaic virus
bromo_NP_602313_American_plum_line_pattern_virus,Bromoviridae,0,0,1,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,Martellivirales,,Bromoviridae,,Ilarvirus,American plum line pattern virus,,Hepe-Virga,Riboviria|Orthornavirae|Kitrinoviricota||Alsuviricetes|Martellivirales||Bromoviridae||Ilarvirus|American plum line pattern virus
bromo_NP_604470_Apple_mosaic_virus,Bromoviridae,0,0,1,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,Martellivirales,,Bromoviridae,,Ilarvirus,Apple mosaic virus,,Hepe-Virga,Riboviria|Orthornavirae|Kitrinoviricota||Alsuviricetes|Martellivirales||Bromoviridae||Ilarvirus|Apple mosaic virus
bromo_NP_619575_Elm_mottle_virus,Bromoviridae,0,0,1,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,Martellivirales,,Bromoviridae,,Ilarvirus,Elm mottle virus,,Hepe-Virga,Riboviria|Orthornavirae|Kitrinoviricota||Alsuviricetes|Martellivirales||Bromoviridae||Ilarvirus|Elm mottle virus
bromo_NP_620043_Olive_latent_virus_2,Bromoviridae,0,0,1,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,Martellivirales,,Bromoviridae,,Oleavirus,Olive latent virus 2,,Hepe-Virga,Riboviria|Orthornavirae|Kitrinoviricota||Alsuviricetes|Martellivirales||Bromoviridae||Oleavirus|Olive latent virus 2
bromo_NP_620768_Tobacco_streak_virus,Bromoviridae,0,0,1,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,Martellivirales,,Bromoviridae,,Ilarvirus,Tobacco streak virus,,Hepe-Virga,Riboviria|Orthornavirae|Kitrinoviricota||Alsuviricetes|Martellivirales||Bromoviridae||Ilarvirus|Tobacco streak virus
Idaeovirus_NP_620465_Raspberry_bushy_dwarf_virus,Idaeovirus,0,0,1,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,Martellivirales,,Mayoviridae,,Idaeovirus,Idaeovirus rubi,,Hepe-Virga,Riboviria|Orthornavirae|Kitrinoviricota||Alsuviricetes|Martellivirales||Mayoviridae||Idaeovirus|Idaeovirus rubi
QWY93831.1_Green_Sichuan_pepper_ilarvirus_Zanthoxylum_armatum_766,Bromoviridae,0,0,1,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,Martellivirales,,Bromoviridae,,Ilarvirus,,,Hepe-Virga,Riboviria|Orthornavirae|Kitrinoviricota||Alsuviricetes|Martellivirales||Bromoviridae||Ilarvirus|
YP_054423.1_Humulus_japonicus_latent_virus_853,Bromoviridae,0,0,1,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,Martellivirales,,Bromoviridae,,Ilarvirus,Humulus japonicus latent virus,,Hepe-Virga,Riboviria|Orthornavirae|Kitrinoviricota||Alsuviricetes|Martellivirales||Bromoviridae||Ilarvirus|Humulus japonicus latent virus
BDT53067.1_wheat_closterovirus_1_Triticum_aestivum_2898,Closteroviridae,0,0,1,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,Martellivirales,,Closteroviridae,,Closterovirus,,,Hepe-Virga,Riboviria|Orthornavirae|Kitrinoviricota||Alsuviricetes|Martellivirales||Closteroviridae||Closterovirus|
clostero_AF260651_Citrus_tristeza_virus,Closteroviridae,0,0,1,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,Martellivirales,,Closteroviridae,,Closterovirus,,,Hepe-Virga,Riboviria|Orthornavirae|Kitrinoviricota||Alsuviricetes|Martellivirales||Closteroviridae||Closterovirus|
clostero_NP_041870_Beet_yellows_virus,Closteroviridae,0,0,1,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,Martellivirales,,Closteroviridae,,Closterovirus,Beet yellows virus,,Hepe-Virga,Riboviria|Orthornavirae|Kitrinoviricota||Alsuviricetes|Martellivirales||Closteroviridae||Closterovirus|Beet yellows virus
clostero_NP_619692_Lettuce_infectious_yellows_virus,Closteroviridae,0,0,1,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,Martellivirales,,Closteroviridae,,Crinivirus,Lettuce infectious yellows virus,,Hepe-Virga,Riboviria|Orthornavirae|Kitrinoviricota||Alsuviricetes|Martellivirales||Closteroviridae||Crinivirus|Lettuce infectious yellows virus
clostero_NP_733945_Little_cherry_virus_1,Closteroviridae,0,0,1,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,Martellivirales,,Closteroviridae,,Velarivirus,Little cherry virus 1,,Hepe-Virga,Riboviria|Orthornavirae|Kitrinoviricota||Alsuviricetes|Martellivirales||Closteroviridae||Velarivirus|Little cherry virus 1
clostero_NP_891562_Little_cherry_virus_2,Closteroviridae,0,0,1,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,Martellivirales,,Closteroviridae,,Ampelovirus,Little cherry virus 2,,Hepe-Virga,Riboviria|Orthornavirae|Kitrinoviricota||Alsuviricetes|Martellivirales||Closteroviridae||Ampelovirus|Little cherry virus 2
clostero_YP_001552323_Plum_bark_necrosis_stem_pitting-associated_virus,Closteroviridae,0,0,1,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,Martellivirales,,Closteroviridae,,Ampelovirus,Plum bark necrosis stem pitting-associated virus,,Hepe-Virga,Riboviria|Orthornavirae|Kitrinoviricota||Alsuviricetes|Martellivirales||Closteroviridae||Ampelovirus|Plum bark necrosis stem pitting-associated virus
clostero_YP_001816769_Bean_yellow_disorder_virus,Closteroviridae,0,0,1,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,Martellivirales,,Closteroviridae,,Crinivirus,Bean yellow disorder virus,,Hepe-Virga,Riboviria|Orthornavirae|Kitrinoviricota||Alsuviricetes|Martellivirales||Closteroviridae||Crinivirus|Bean yellow disorder virus
clostero_YP_003075964_Carrot_yellow_leaf_virus,Closteroviridae,0,0,1,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,Martellivirales,,Closteroviridae,,Closterovirus,Carrot yellow leaf virus,,Hepe-Virga,Riboviria|Orthornavirae|Kitrinoviricota||Alsuviricetes|Martellivirales||Closteroviridae||Closterovirus|Carrot yellow leaf virus
clostero_YP_004901686_Grapevine_leafroll-associated_virus_5,Closteroviridae,0,0,1,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,Martellivirales,,Closteroviridae,,Ampelovirus,Grapevine leafroll-associated virus 4,,Hepe-Virga,Riboviria|Orthornavirae|Kitrinoviricota||Alsuviricetes|Martellivirales||Closteroviridae||Ampelovirus|Grapevine leafroll-associated virus 4
clostero_YP_004935918_Grapevine_leafroll-associated_virus_7,Closteroviridae,0,0,1,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,Martellivirales,,Closteroviridae,,Velarivirus,Grapevine leafroll-associated virus 7,,Hepe-Virga,Riboviria|Orthornavirae|Kitrinoviricota||Alsuviricetes|Martellivirales||Closteroviridae||Velarivirus|Grapevine leafroll-associated virus 7
clostero_YP_004940641_Grapevine_leafroll-associated_virus_1,Closteroviridae,0,0,1,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,Martellivirales,,Closteroviridae,,Ampelovirus,Grapevine leafroll-associated virus 1,,Hepe-Virga,Riboviria|Orthornavirae|Kitrinoviricota||Alsuviricetes|Martellivirales||Closteroviridae||Ampelovirus|Grapevine leafroll-associated virus 1
QNS29673.1_Fig_virus_B_Ficus_carica_529,Closteroviridae,0,0,1,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,Martellivirales,,Closteroviridae,,Closterovirus,,,Hepe-Virga,Riboviria|Orthornavirae|Kitrinoviricota||Alsuviricetes|Martellivirales||Closteroviridae||Closterovirus|
QPK66414.1_Firespike_leaf_roll-associated_virus_501,Closteroviridae,0,0,1,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,Martellivirales,,Closteroviridae,,Ampelovirus,,,Hepe-Virga,Riboviria|Orthornavirae|Kitrinoviricota||Alsuviricetes|Martellivirales||Closteroviridae||Ampelovirus|
YP_009553246.1_Blackcurrant_leafroll-associated_virus_1_3313,Closteroviridae,0,0,1,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,Martellivirales,,Closteroviridae,,Closterovirus,,,Hepe-Virga,Riboviria|Orthornavirae|Kitrinoviricota||Alsuviricetes|Martellivirales||Closteroviridae||Closterovirus|
YP_009664794.1_Pineapple_mealybug_wilt-associated_virus_2_559,Closteroviridae,0,0,1,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,Martellivirales,,Closteroviridae,,Ampelovirus,Pineapple mealybug wilt-associated virus 2,,Hepe-Virga,Riboviria|Orthornavirae|Kitrinoviricota||Alsuviricetes|Martellivirales||Closteroviridae||Ampelovirus|Pineapple mealybug wilt-associated virus 2
UVF62074.1_Agrostis_stolonifera_deltaflexivirus_1_Ixodes_persulcatus_2059,Deltaflexiviridae,0,0,0,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,Tymovirales,,Deltaflexiviridae,,Deltaflexivirus,,,Hepe-Virga,Riboviria|Orthornavirae|Kitrinoviricota||Alsuviricetes|Tymovirales||Deltaflexiviridae||Deltaflexivirus|
YP_009268710.1_Fusarium_graminearum_deltaflexivirus_1_2042,Deltaflexiviridae,0,0,0,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,Tymovirales,,Deltaflexiviridae,,Deltaflexivirus,Fusarium deltaflexivirus 1,,Hepe-Virga,Riboviria|Orthornavirae|Kitrinoviricota||Alsuviricetes|Tymovirales||Deltaflexiviridae||Deltaflexivirus|Fusarium deltaflexivirus 1
YP_009508374.1_Soybean_leaf-associated_mycoflexivirus_1_2084,Deltaflexiviridae,0,0,0,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,Tymovirales,,Deltaflexiviridae,,Deltaflexivirus,Soybean-associated deltaflexivirus 1,,Hepe-Virga,Riboviria|Orthornavirae|Kitrinoviricota||Alsuviricetes|Tymovirales||Deltaflexiviridae||Deltaflexivirus|Soybean-associated deltaflexivirus 1
YP_009552771.1_Sclerotinia_sclerotiorum_deltaflexivirus_2_2114,Deltaflexiviridae,0,0,0,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,Tymovirales,,Deltaflexiviridae,,Deltaflexivirus,Sclerotinia deltaflexivirus 1,,Hepe-Virga,Riboviria|Orthornavirae|Kitrinoviricota||Alsuviricetes|Tymovirales||Deltaflexiviridae||Deltaflexivirus|Sclerotinia deltaflexivirus 1
WCLSXC58279_Wuchan_romanomermis_nematode_virus_1,Endornaviridae,0,0,0,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,Martellivirales,,Endornaviridae,,Alphaendornavirus,,,Hepe-Virga,Riboviria|Orthornavirae|Kitrinoviricota||Alsuviricetes|Martellivirales||Endornaviridae||Alphaendornavirus|
SHWC0209c12790_Shahe_endorna-like_virus_1,Endornaviridae,0,0,0,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,Martellivirales,,Endornaviridae,,Alphaendornavirus,,,Hepe-Virga,Riboviria|Orthornavirae|Kitrinoviricota||Alsuviricetes|Martellivirales||Endornaviridae||Alphaendornavirus|
QPF20438.1_Triticeae_associated_alphaendornavirus_Secale_cereale_4941,Endornaviridae,0,0,0,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,Martellivirales,,Endornaviridae,,Alphaendornavirus,,,Hepe-Virga,Riboviria|Orthornavirae|Kitrinoviricota||Alsuviricetes|Martellivirales||Endornaviridae||Alphaendornavirus|
QCM148882_Hubei_endorna-like_virus_1,Endornaviridae,0,0,0,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,Martellivirales,,Endornaviridae,,Alphaendornavirus,,,Hepe-Virga,Riboviria|Orthornavirae|Kitrinoviricota||Alsuviricetes|Martellivirales||Endornaviridae||Alphaendornavirus|
endorna_YP_529670_Gremmeniella_abietina_type_B_RNA_virus_XL1,Endornaviridae,0,0,0,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,Martellivirales,,Endornaviridae,,Betaendornavirus,Gremmeniella abietina betaendornavirus 1,,Hepe-Virga,Riboviria|Orthornavirae|Kitrinoviricota||Alsuviricetes|Martellivirales||Endornaviridae||Betaendornavirus|Gremmeniella abietina betaendornavirus 1
endorna_YP_438202_Oryza_rufipogon_endornavirus,Endornaviridae,0,0,0,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,Martellivirales,,Endornaviridae,,Alphaendornavirus,Oryza rufipogon alphaendornavirus,,Hepe-Virga,Riboviria|Orthornavirae|Kitrinoviricota||Alsuviricetes|Martellivirales||Endornaviridae||Alphaendornavirus|Oryza rufipogon alphaendornavirus
