RdRp_sseqid,super_group,Accession_id
astro-poty-like_QBJ04608_Tasmanian_devil-associated_astrovirus_1_Sarcophilus_harrisii_491,Astro-Poty,QBJ04608
astro-poty-like_AYC63251_Phellodendron_yellow_ringspot_associated_virus_Phellodendron_amurense_3415,Astro-Poty,AYC63251
astro-poty-like_AZL49326_Henbane_mosaic_virus_Nicotiana_tabacum_3249,Astro-Poty,AZL49326
astro-poty-like_AYV61463_Ugandan_Passiflora_virus_Passiflora_edulis_3087,Astro-Poty,AYV61463
astro-poty-like_AVX29491_Marmot_astrovirus_3_Marmota_himalayana_513,Astro-Poty,AVX29491
astro-poty-like_ASV45847_Mamastrovirus_13_Ovis_aries_1356,Astro-Poty,ASV45847
astro-poty-like_AOY33888_Squash_vein_yellowing_virus_Citrullus_lanatus_3172,Astro-Poty,AOY33888
astro-poty-like_AII82242_Mamastrovirus_2_Felis_catus_1430,Astro-Poty,AII82242
astro-poty-like_AFS28882_Potato_virus_B_Solanum_tuberosum_3054,Astro-Poty,AFS28882
astro-poty-like_ADR65075_Mamastrovirus_10_Mustela_lutreola_1383,Astro-Poty,ADR65075
astro-poty-like_YP_010086751_Gomphocarpus_mosaic_virus_3196,Astro-Poty,YP_010086751
astro-poty-like_YP_010086811_East_Asian_Passiflora_distortion_virus_3216,Astro-Poty,YP_010086811
astro-poty-like_YP_010086840_Yam_chlorotic_necrosis_virus_2627,Astro-Poty,YP_010086840
astro-poty-like_YP_010086847_Alpinia_oxyphylla_mosaic_virus_2626,Astro-Poty,YP_010086847
astro-poty-like_YP_010086860_Mashua_virus_Y_3074,Astro-Poty,YP_010086860
astro-poty-like_YP_010086861_Passiflora_edulis_symptomless_virus_3173,Astro-Poty,YP_010086861
astro-poty-like_YP_010087148_Platycodon_mild_mottle_virus_3079,Astro-Poty,YP_010087148
astro-poty-like_YP_010087165_Dioscorea_mosaic_virus_3084,Astro-Poty,YP_010087165
astro-poty-like_YP_010087230_Dendrobium_chlorotic_mosaic_virus_3189,Astro-Poty,YP_010087230
astro-poty-like_YP_010087632_Costus_stripe_mosaic_virus_3046,Astro-Poty,YP_010087632
astro-poty-like_YP_010087797_Noni_mosaic_virus_3077,Astro-Poty,YP_010087797
astro-poty-like_YP_010087867_Paris_virus_1_3240,Astro-Poty,YP_010087867
astro-poty-like_YP_010087868_Begonia_flower_breaking_virus_3072,Astro-Poty,YP_010087868
astro-poty-like_YP_009664779_Bat_astrovirus_Tm_Guangxi_LD71_2007_546,Astro-Poty,YP_009664779
astro-poty-like_YP_009664783_Bat_astrovirus_Tm_Guangxi_LD77_2007_470,Astro-Poty,YP_009664783
astro-poty-like_YP_009664787_Mamastrovirus_18_816,Astro-Poty,YP_009664787
astro-poty-like_YP_009664790_Bat_astrovirus_Tm_Guangxi_LD38_2007_522,Astro-Poty,YP_009664790
astro-poty-like_YP_009345898_Qinghai_Himalayan_marmot_astrovirus_1_512,Astro-Poty,YP_009345898
astro-poty-like_YP_009345903_Qinghai_Himalayan_marmot_astrovirus_2_510,Astro-Poty,YP_009345903
astro-poty-like_YP_009162617_Dromedary_astrovirus_1312,Astro-Poty,YP_009162617
astro-poty-like_YP_009130648_Canine_astrovirus_511,Astro-Poty,YP_009130648
astro-poty-like_YP_004123732_Lupinus_mosaic_virus_3256,Astro-Poty,YP_004123732
astro-poty-like_YP_025106_Agropyron_mosaic_virus_3078,Astro-Poty,YP_025106
astro-poty-like_NP_040807_Plum_pox_virus,Astro-Poty,NP_040807
astro-poty-like_NP_041276_Pepper_mottle_virus,Astro-Poty,NP_041276
astro-poty-like_NP_044727_Ryegrass_mosaic_virus,Astro-Poty,NP_044727
astro-poty-like_NP_045216_Sweet_potato_feathery_mottle_virus,Astro-Poty,NP_045216
astro-poty-like_NP_046741_Wheat_streak_mosaic_virus,Astro-Poty,NP_046741
astro-poty-like_NP_051161_Japanese_yam_mosaic_virus,Astro-Poty,NP_051161
astro-poty-like_NP_056758_Papaya_ringspot_virus,Astro-Poty,NP_056758
astro-poty-like_NP_056759_Potato_virus_Y,Astro-Poty,NP_056759
astro-poty-like_NP_056765_Pea_seed-borne_mosaic_virus,Astro-Poty,NP_056765
astro-poty-like_NP_056867_Tobacco_vein_mottling_virus,Astro-Poty,NP_056867
astro-poty-like_NP_059449_Wheat_yellow_mosaic_virus,Astro-Poty,NP_059449
astro-poty-like_NP_0628662_Turnip_mosaic_virus,Astro-Poty,NP_0628662
astro-poty-like_NP_062908_Tobacco_etch_virus,Astro-Poty,NP_062908
astro-poty-like_NP_0683482_Peanut_mottle_virus,Astro-Poty,NP_0683482
astro-poty-like_NP_072165_Soybean_mosaic_virus,Astro-Poty,NP_072165
astro-poty-like_NP_148999_Barley_yellow_mosaic_virus,Astro-Poty,NP_148999
astro-poty-like_NP_477522_Zucchini_yellow_mosaic_virus,Astro-Poty,NP_477522
astro-poty-like_NP_569138_Maize_dwarf_mosaic_virus,Astro-Poty,NP_569138
astro-poty-like_NP_570723_Bean_common_mosaic_virus,Astro-Poty,NP_570723
astro-poty-like_NP_570724_Sugarcane_mosaic_virus,Astro-Poty,NP_570724
astro-poty-like_NP_570725_Scallion_mosaic_virus,Astro-Poty,NP_570725
astro-poty-like_NP_604491_Barley_mild_mosaic_virus,Astro-Poty,NP_604491
astro-poty-like_NP_612218_Bean_yellow_mosaic_virus,Astro-Poty,NP_612218
astro-poty-like_NP_612585_Brome_streak_mosaic_virus,Astro-Poty,NP_612585
astro-poty-like_NP_613273_Clover_yellow_vein_virus,Astro-Poty,NP_613273
astro-poty-like_NP_613274_Dasheen_mosaic_virus,Astro-Poty,NP_613274
astro-poty-like_NP_619667_Lettuce_mosaic_virus,Astro-Poty,NP_619667
astro-poty-like_NP_619668_Johnsongrass_mosaic_virus,Astro-Poty,NP_619668
astro-poty-like_NP_620483_Cocksfoot_streak_virus,Astro-Poty,NP_620483
astro-poty-like_NP_620656_Sweet_potato_mild_mottle_virus,Astro-Poty,NP_620656
astro-poty-like_NP_659008_Potato_virus_V,Astro-Poty,NP_659008
astro-poty-like_NP_659009_Leek_yellow_stripe_virus,Astro-Poty,NP_659009
astro-poty-like_NP_659018_Cowpea_aphid-borne_mosaic_virus,Astro-Poty,NP_659018
astro-poty-like_NP_659025_Oat_mosaic_virus,Astro-Poty,NP_659025
astro-poty-like_NP_659391_Sorghum_mosaic_virus,Astro-Poty,NP_659391
astro-poty-like_NP_659729_Potato_virus_A,Astro-Poty,NP_659729
astro-poty-like_NP_660175_Bean_common_mosaic_necrosis_virus,Astro-Poty,NP_660175
astro-poty-like_NP_741959_Wild_potato_mosaic_virus,Astro-Poty,NP_741959
astro-poty-like_NP_787937_Peru_tomato_mosaic_virus,Astro-Poty,NP_787937
astro-poty-like_NP_870995_Papaya_leaf_distortion_mosaic_virus,Astro-Poty,NP_870995
astro-poty-like_NP_871002_Onion_yellow_dwarf_virus,Astro-Poty,NP_871002
astro-poty-like_NP_932608_Oat_necrotic_mottle_virus,Astro-Poty,NP_932608
astro-poty-like_NP_945133_Lily_mottle_virus,Astro-Poty,NP_945133
astro-poty-like_NP_954611_Beet_mosaic_virus,Astro-Poty,NP_954611
astro-poty-like_NP_982308_Chilli_veinal_mottle_virus,Astro-Poty,NP_982308
astro-poty-like_YP_001019187_Narcissus_degeneration_virus,Astro-Poty,YP_001019187
astro-poty-like_YP_001427385_Basella_rugose_mosaic_virus,Astro-Poty,YP_001427385
astro-poty-like_YP_001427386_Telosma_mosaic_virus,Astro-Poty,YP_001427386
astro-poty-like_YP_001427388_Wild_tomato_mosaic_virus,Astro-Poty,YP_001427388
astro-poty-like_YP_001427389_Banana_bract_mosaic_virus,Astro-Poty,YP_001427389
astro-poty-like_YP_001468087_Wheat_eqlid_mosaic_virus,Astro-Poty,YP_001468087
astro-poty-like_YP_001552409_Tobacco_vein_banding_mosaic_virus,Astro-Poty,YP_001552409
astro-poty-like_YP_001552410_Moroccan_watermelon_mosaic_virus,Astro-Poty,YP_001552410
astro-poty-like_YP_001788991_Squash_vein_yellowing_virus,Astro-Poty,YP_001788991
astro-poty-like_YP_001931955_Verbena_virus_Y,Astro-Poty,YP_001931955
astro-poty-like_YP_001931956_Algerian_watermelon_mosaic_virus,Astro-Poty,YP_001931956
astro-poty-like_YP_001974419_Fritillary_virus_Y,Astro-Poty,YP_001974419
astro-poty-like_YP_002308453_Narcissus_yellow_stripe_virus,Astro-Poty,YP_002308453
astro-poty-like_YP_002308580_Zantedeschia_mild_mosaic_virus,Astro-Poty,YP_002308580
astro-poty-like_YP_002519375_Pepper_veinal_mottle_virus,Astro-Poty,YP_002519375
astro-poty-like_YP_002956073_Triticum_mosaic_virus,Astro-Poty,YP_002956073
astro-poty-like_YP_003208047_Canna_yellow_streak_virus,Astro-Poty,YP_003208047
astro-poty-like_YP_003580191_Sugarcane_streak_mosaic_virus,Astro-Poty,YP_003580191
astro-poty-like_YP_003580192_Sunflower_chlorotic_mottle_virus,Astro-Poty,YP_003580192
astro-poty-like_YP_003587807_Freesia_mosaic_virus,Astro-Poty,YP_003587807
astro-poty-like_YP_003725718_Panax_virus_Y,Astro-Poty,YP_003725718
astro-poty-like_YP_003778191_Bidens_mottle_virus,Astro-Poty,YP_003778191
astro-poty-like_YP_003778216_Pepper_yellow_mosaic_virus,Astro-Poty,YP_003778216
astro-poty-like_YP_003900466_Brugmansia_suaveolens_mottle_virus,Astro-Poty,YP_003900466
astro-poty-like_YP_004046670_Sweet_potato_virus_C,Astro-Poty,YP_004046670
astro-poty-like_YP_004063671_Passion_fruit_woodiness_virus,Astro-Poty,YP_004063671
astro-poty-like_YP_004123951_Apium_virus_Y,Astro-Poty,YP_004123951
astro-poty-like_YP_004376199_Celery_mosaic_virus,Astro-Poty,YP_004376199
astro-poty-like_YP_004564588_Hardenbergia_mosaic_virus,Astro-Poty,YP_004564588
astro-poty-like_YP_004875339_Chilli_ringspot_virus,Astro-Poty,YP_004875339
astro-poty-like_YP_004934107_Keunjorong_mosaic_virus,Astro-Poty,YP_004934107
astro-poty-like_YP_004936165_Yambean_mosaic_virus,Astro-Poty,YP_004936165
astro-poty-like_YP_006272948_Tomato_necrotic_stunt_virus,Astro-Poty,YP_006272948
astro-poty-like_YP_006382256_Hippeastrum_mosaic_virus,Astro-Poty,YP_006382256
astro-poty-like_YP_006382460_Sweet_potato_virus_2,Astro-Poty,YP_006382460
astro-poty-like_YP_006383504_Cyrtanthus_elatus_virus_A,Astro-Poty,YP_006383504
astro-poty-like_YP_006493333_Sweet_potato_virus_G,Astro-Poty,YP_006493333
astro-poty-like_YP_006522440_Arracacha_mottle_virus,Astro-Poty,YP_006522440
astro-poty-like_YP_006590058_Chinese_yam_necrotic_mosaic_virus,Astro-Poty,YP_006590058
astro-poty-like_YP_006666511_Caladenia_virus_A,Astro-Poty,YP_006666511
astro-poty-like_YP_006905847_Rose_yellow_mosaic_virus,Astro-Poty,YP_006905847
astro-poty-like_YP_006906026_Iranian_johnsongrass_mosaic_virus,Astro-Poty,YP_006906026
astro-poty-like_YP_006989380_Ornithogalum_mosaic_virus,Astro-Poty,YP_006989380
astro-poty-like_YP_006990077_Yam_mild_mosaic_virus,Astro-Poty,YP_006990077
astro-poty-like_YP_006990202_Blue_squill_virus_A,Astro-Poty,YP_006990202
astro-poty-like_YP_007027011_Cassava_brown_streak_virus,Astro-Poty,YP_007027011
astro-poty-like_YP_007346986_Colombian_datura_virus,Astro-Poty,YP_007346986
astro-poty-like_YP_007354880_Brugmansia_mosaic_virus,Astro-Poty,YP_007354880
astro-poty-like_YP_007697620_Sweet_potato_latent_virus,Astro-Poty,YP_007697620
astro-poty-like_YP_007872240_Sunflower_mild_mosaic_virus,Astro-Poty,YP_007872240
astro-poty-like_YP_007969412_Donkey_orchid_virus_A,Astro-Poty,YP_007969412
astro-poty-like_YP_008240477_Habenaria_mosaic_virus,Astro-Poty,YP_008240477
astro-poty-like_YP_008719787_Pokeweed_mosaic_virus,Astro-Poty,YP_008719787
astro-poty-like_YP_008766766_Tall_oatgrass_mosaic_virus,Astro-Poty,YP_008766766
astro-poty-like_YP_008877631_Bidens_mosaic_virus,Astro-Poty,YP_008877631
astro-poty-like_YP_008992091_Zucchini_tigre_mosaic_virus,Astro-Poty,YP_008992091
astro-poty-like_YP_009010942_Narcissus_late_season_yellows_virus,Astro-Poty,YP_009010942
astro-poty-like_YP_009047077_Yellow_oat_grass_mosaic_virus,Astro-Poty,YP_009047077
astro-poty-like_YP_009091808_Vanilla_distortion_mosaic_virus,Astro-Poty,YP_009091808
astro-poty-like_YP_009091824_Carrot_thin_leaf_virus,Astro-Poty,YP_009091824
astro-poty-like_YP_009110712_Asparagus_virus_1,Astro-Poty,YP_009110712
astro-poty-like_YP_009126730_Tamarillo_leaf_malformation_virus,Astro-Poty,YP_009126730
astro-poty-like_YP_009129267_Artichoke_latent_virus,Astro-Poty,YP_009129267
astro-poty-like_YP_009143308_Catharanthus_mosaic_virus,Astro-Poty,YP_009143308
astro-poty-like_YP_009162372_Lettuce_Italian_necrotic_virus,Astro-Poty,YP_009162372
astro-poty-like_YP_009175089_Rice_necrosis_mosaic_virus,Astro-Poty,YP_009175089
astro-poty-like_YP_009221980_Jasmine_virus_T,Astro-Poty,YP_009221980
astro-poty-like_YP_009224125_Iris_severe_mosaic_virus,Astro-Poty,YP_009224125
astro-poty-like_YP_009252304_Tobacco_mosqueado_virus,Astro-Poty,YP_009252304
astro-poty-like_YP_009255234_Impatiens_flower_break_virus,Astro-Poty,YP_009255234
astro-poty-like_YP_009256204_Pecan_mosaic-associated_virus,Astro-Poty,YP_009256204
astro-poty-like_YP_009259366_Wild_onion_symptomless_virus,Astro-Poty,YP_009259366
astro-poty-like_YP_009272570_Callistephus_mottle_virus,Astro-Poty,YP_009272570
astro-poty-like_YP_009272707_Coccinia_mottle_virus,Astro-Poty,YP_009272707
astro-poty-like_YP_009272820_Barbacena_virus_Y,Astro-Poty,YP_009272820
astro-poty-like_YP_009305422_Euphorbia_ringspot_virus,Astro-Poty,YP_009305422
astro-poty-like_YP_009336845_Hubei_Poty-like_virus_1,Astro-Poty,YP_009336845
astro-poty-like_YP_009344997_Wuhan_poty-like_virus_1,Astro-Poty,YP_009344997
astro-poty-like_YP_009351870_Sunflower_ring_blotch_virus,Astro-Poty,YP_009351870
astro-poty-like_YP_009353030_Endive_necrotic_mosaic_virus,Astro-Poty,YP_009353030
astro-poty-like_YP_009362294_Goose_astrovirus,Astro-Poty,YP_009362294
astro-poty-like_YP_009373261_Longan_witches_broom-associated_virus,Astro-Poty,YP_009373261
astro-poty-like_YP_009388623_Cucurbit_vein_banding_virus,Astro-Poty,YP_009388623
astro-poty-like_YP_009407950_Wild_melon_vein_banding_virus,Astro-Poty,YP_009407950
astro-poty-like_YP_009407951_Sudan_watermelon_mosaic_virus,Astro-Poty,YP_009407951
astro-poty-like_YP_009408143_Reed_chlorotic_stripe_virus,Astro-Poty,YP_009408143
astro-poty-like_YP_009455737_Saffron_latent_virus,Astro-Poty,YP_009455737
astro-poty-like_YP_009465708_Hyacinth_mosaic_virus,Astro-Poty,YP_009465708
astro-poty-like_YP_009507671_Broad-leafed_dock_virus_A,Astro-Poty,YP_009507671
astro-poty-like_YP_009507672_Yam_chlorotic_necrotic_mosaic_virus,Astro-Poty,YP_009507672
astro-poty-like_YP_009507673_Gloriosa_stripe_mosaic_virus,Astro-Poty,YP_009507673
astro-poty-like_YP_009508240_Tomato_mild_mottle_virus,Astro-Poty,YP_009508240
astro-poty-like_YP_009508399_Daphne_virus_Y,Astro-Poty,YP_009508399
astro-poty-like_YP_009508455_Bellflower_veinal_mottle_virus,Astro-Poty,YP_009508455
astro-poty-like_YP_009508901_Cardamom_mosaic_virus,Astro-Poty,YP_009508901
astro-poty-like_YP_009551653_Wheat_spindle_streak_mosaic_virus,Astro-Poty,YP_009551653
astro-poty-like_YP_009552772_Pleione_flower_breaking_virus,Astro-Poty,YP_009552772
astro-poty-like_YP_009553508_Lily_yellow_mosaic_virus,Astro-Poty,YP_009553508
astro-poty-like_YP_009553653_Areca_palm_necrotic_spindle-spot_virus,Astro-Poty,YP_009553653
astro-poty-like_YP_009664775_Bottlenose_dolphin_astrovirus_1,Astro-Poty,YP_009664775
astro-poty-like_YP_009665117_Maclura_mosaic_virus,Astro-Poty,YP_009665117
astro-poty-like_YP_009665133_Iris_mild_mosaic_virus,Astro-Poty,YP_009665133
astro-poty-like_APX54983_Kalanchoe_mosaic_virus,Astro-Poty,APX54983
astro-poty-like_YP_009665139_Ornithogalum_virus_3,Astro-Poty,YP_009665139
astro-poty-like_YP_009665149_Sunflower_mosaic_virus,Astro-Poty,YP_009665149
astro-poty-like_YP_009665155_Watermelon_leaf_mottle_virus,Astro-Poty,YP_009665155
astro-poty-like_YP_009665156_Zucchini_shoestring_virus,Astro-Poty,YP_009665156
astro-poty-like_YP_009666043_Tuberose_mild_mottle_virus,Astro-Poty,YP_009666043
astro-poty-like_YP_009666817_Paris_mosaic_necrosis_virus,Astro-Poty,YP_009666817
astro-poty-like_YP_009666832_Mediterranean_ruda_virus,Astro-Poty,YP_009666832
astro-poty-like_YP_009666833_African_eggplant_mosaic_virus,Astro-Poty,YP_009666833
astro-poty-like_YP_022751_Yam_mosaic_virus,Astro-Poty,YP_022751
astro-poty-like_YP_025107_Hordeum_mosaic_virus,Astro-Poty,YP_025107
astro-poty-like_YP_077181_Watermelon_mosaic_virus,Astro-Poty,YP_077181
astro-poty-like_YP_224077_Cucumber_vein_yellowing_virus,Astro-Poty,YP_224077
astro-poty-like_YP_249455_Pennisetum_mosaic_virus,Astro-Poty,YP_249455
astro-poty-like_YP_254713_Thunberg_fritillary_mosaic_virus,Astro-Poty,YP_254713
astro-poty-like_YP_271857_Wisteria_vein_mosaic_virus,Astro-Poty,YP_271857
astro-poty-like_YP_331413_Shallot_yellow_stripe_virus,Astro-Poty,YP_331413
astro-poty-like_YP_459919_East_Asian_Passiflora_virus,Astro-Poty,YP_459919
astro-poty-like_YP_529485_Konjac_mosaic_virus,Astro-Poty,YP_529485
astro-poty-like_YP_610949_Daphne_mosaic_virus,Astro-Poty,YP_610949
astro-poty-like_YP_778468_Pepper_severe_mosaic_virus,Astro-Poty,YP_778468
astro-poty-like_YP_851006_Blackberry_virus_Y,Astro-Poty,YP_851006
astro-poty-like_ABX46565_Avastrovirus_3,Astro-Poty,ABX46565
astro-poty-like_AHX26591_Duck_astrovirus_3,Astro-Poty,AHX26591
astro-poty-like_AMR45105_Astrovirus_MLB2,Astro-Poty,AMR45105
astro-poty-like_AVN98123_Rhesus_monkey_astrovirus,Astro-Poty,AVN98123
astro-poty-like_NP_6206172_Chicken_astrovirus,Astro-Poty,NP_6206172
astro-poty-like_NP_853540_Turkey_astrovirus,Astro-Poty,NP_853540
