Cluster_sseqid,Cluster_taxon,Human,Vertebrates,Plant,Realm,Kingdom,Phylum,Subphylum,Class,Order,Suborder,Family,Subfamily,Genus,Species,,SuperGroup,Taxon_set
permutotetra-like_QDH90593.1_Permutotetraviridae_sp,Permutotetraviridae,0,0,0,Riboviria,Orthornavirae,,,,,,Permutotetraviridae,,,,,Birna-Permutotetra,Riboviria|Orthornavirae||||||Permutotetraviridae|||
permutotetra-like_APG76944.1_Beihai_permutotetra-like_virus_1,Permutotetraviridae,0,0,0,Riboviria,Orthornavirae,,,,,,Permutotetraviridae,,,,,Birna-Permutotetra,Riboviria|Orthornavirae||||||Permutotetraviridae|||
permutotetra-like_YP_009337234.1_Beihai_sphaeromadae_virus_4,Permutotetraviridae,0,0,0,Riboviria,Orthornavirae,,,,,,Permutotetraviridae,,,,,Birna-Permutotetra,Riboviria|Orthornavirae||||||Permutotetraviridae|||
birna-like_YP_010086266.1_Lates_calcarifer_birnavirus_856,Birnaviridae,0,1,0,Riboviria,Orthornavirae,,,,,,Birnaviridae,,Blosnavirus,Blosnavirus lati,,Birna-Permutotetra,Riboviria|Orthornavirae||||||Birnaviridae||Blosnavirus|Blosnavirus lati
birna-like_YP_052864.1_Blotched_snakehead_virus,Birnaviridae,0,1,0,Riboviria,Orthornavirae,,,,,,Birnaviridae,,Blosnavirus,Blosnavirus channae,,Birna-Permutotetra,Riboviria|Orthornavirae||||||Birnaviridae||Blosnavirus|Blosnavirus channae
birna-like_NP_047197.1_Infectious_pancreatic_necrosis_virus,Birnaviridae,0,1,0,Riboviria,Orthornavirae,,,,,,Birnaviridae,,Aquabirnavirus,Aquabirnavirus salmonidae,,Birna-Permutotetra,Riboviria|Orthornavirae||||||Birnaviridae||Aquabirnavirus|Aquabirnavirus salmonidae
birna-like_NP_690835.1_Yellowtail_ascites_virus,Birnaviridae,0,1,0,Riboviria,Orthornavirae,,,,,,Birnaviridae,,Aquabirnavirus,Aquabirnavirus ascitae,,Birna-Permutotetra,Riboviria|Orthornavirae||||||Birnaviridae||Aquabirnavirus|Aquabirnavirus ascitae
birna-like_YP_605814.1_Marine_birnavirus,Birnaviridae,0,1,0,Riboviria,Orthornavirae,,,,,,Birnaviridae,,Aquabirnavirus,Aquabirnavirus ascitae,,Birna-Permutotetra,Riboviria|Orthornavirae||||||Birnaviridae||Aquabirnavirus|Aquabirnavirus ascitae
birna-like_YP_001514405.1_Paralichthys_olivaceus_birnavirus,Birnaviridae,0,1,0,Riboviria,Orthornavirae,,,,,,Birnaviridae,,Aquabirnavirus,Aquabirnavirus ascitae,,Birna-Permutotetra,Riboviria|Orthornavirae||||||Birnaviridae||Aquabirnavirus|Aquabirnavirus ascitae
birna-like_YP_009255399.1_Victorian_trout_aquabirnavirus,Birnaviridae,0,1,0,Riboviria,Orthornavirae,,,,,,Birnaviridae,,Aquabirnavirus,,,Birna-Permutotetra,Riboviria|Orthornavirae||||||Birnaviridae||Aquabirnavirus|
birna-like_YP_009177609.1_Tasmanian_aquabirnavirus,Birnaviridae,0,1,0,Riboviria,Orthornavirae,,,,,,Birnaviridae,,Aquabirnavirus,,,Birna-Permutotetra,Riboviria|Orthornavirae||||||Birnaviridae||Aquabirnavirus|
birna-like_add_Rayfin_LXMC183442_Wenling_jack_mackerels_birnavirus,Birnaviridae,0,1,0,Riboviria,Orthornavirae,,,,,,Birnaviridae,,,,,Birna-Permutotetra,Riboviria|Orthornavirae||||||Birnaviridae|||
birna-like_add_Cartilaginous_RBCSG7740_Wenling_japanese_topeshark_birnavirus,Birnaviridae,0,1,0,Riboviria,Orthornavirae,,,,,,Birnaviridae,,,,,Birna-Permutotetra,Riboviria|Orthornavirae||||||Birnaviridae|||
birna-like_NP_690839.1_Infectious_bursal_disease_virus,Birnaviridae,0,1,0,Riboviria,Orthornavirae,,,,,,Birnaviridae,,Avibirnavirus,Avibirnavirus gumboroense,,Birna-Permutotetra,Riboviria|Orthornavirae||||||Birnaviridae||Avibirnavirus|Avibirnavirus gumboroense
birna-like_add_NP_690839_Infectious_bursal_disease_virus,Birnaviridae,0,1,0,Riboviria,Orthornavirae,,,,,,Birnaviridae,,Avibirnavirus,Avibirnavirus gumboroense,,Birna-Permutotetra,Riboviria|Orthornavirae||||||Birnaviridae||Avibirnavirus|Avibirnavirus gumboroense
birna-like_QBS55242.1_Tetranychus_urticae-associated_entomobirnavirus,Birnaviridae,0,1,0,Riboviria,Orthornavirae,,,,,,Birnaviridae,,Entomobirnavirus,,,Birna-Permutotetra,Riboviria|Orthornavirae||||||Birnaviridae||Entomobirnavirus|
birna-like_CAX33878.1_Rotifer_birnavirus_strain_Palavas,Birnaviridae,0,1,0,Riboviria,Orthornavirae,,,,,,Birnaviridae,,,,,Birna-Permutotetra,Riboviria|Orthornavirae||||||Birnaviridae|||
birna-like_APG76080.1_Hubei_birna-like_virus,Birnaviridae,0,1,0,Riboviria,Orthornavirae,,,,,,Birnaviridae,,,,,Birna-Permutotetra,Riboviria|Orthornavirae||||||Birnaviridae|||
birna-like_YP_009508102.1_Tellina_virus_1,Birnaviridae,0,1,0,Riboviria,Orthornavirae,,,,,,Birnaviridae,,Telnavirus,Telnavirus tellinae,,Birna-Permutotetra,Riboviria|Orthornavirae||||||Birnaviridae||Telnavirus|Telnavirus tellinae
birna-like_NP_690806.1_Drosophila_X_virus,Birnaviridae,0,1,0,Riboviria,Orthornavirae,,,,,,Birnaviridae,,Entomobirnavirus,Entomobirnavirus drosophilae,,Birna-Permutotetra,Riboviria|Orthornavirae||||||Birnaviridae||Entomobirnavirus|Entomobirnavirus drosophilae
birna-like_YP_004956721.1_Espirito_Santo_virus,Birnaviridae,0,1,0,Riboviria,Orthornavirae,,,,,,Birnaviridae,,,,,Birna-Permutotetra,Riboviria|Orthornavirae||||||Birnaviridae|||
birna-like_APG76079.1_Jingmen_birna-like_virus,Birnaviridae,0,1,0,Riboviria,Orthornavirae,,,,,,Birnaviridae,,,,,Birna-Permutotetra,Riboviria|Orthornavirae||||||Birnaviridae|||
birna-like_ACU32792.1_Drosophila_melanogaster_birnavirus_SW-2009a,Birnaviridae,0,1,0,Riboviria,Orthornavirae,,,,,,Birnaviridae,,,,,Birna-Permutotetra,Riboviria|Orthornavirae||||||Birnaviridae|||
