Cluster_sseqid,Cluster_taxon,Human,Vertebrates,Plant,Realm,Kingdom,Phylum,Subphylum,Class,Order,Suborder,Family,Subfamily,Genus,Species,,SuperGroup,Taxon_set
YP_001936026_Latino_mammarenavirus,Arenaviridae,0,1,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Ellioviricetes,Bunyavirales,,Arenaviridae,,Mammarenavirus,Mammarenavirus latinum,,Negative_Bunya-Arena,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Ellioviricetes|Bunyavirales||Arenaviridae||Mammarenavirus|Mammarenavirus latinum
YP_001936028_Parana_mammarenavirus,Arenaviridae,0,1,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Ellioviricetes,Bunyavirales,,Arenaviridae,,Mammarenavirus,Mammarenavirus paranaense,,Negative_Bunya-Arena,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Ellioviricetes|Bunyavirales||Arenaviridae||Mammarenavirus|Mammarenavirus paranaense
YP_002929493_Lujo_mammarenavirus,Arenaviridae,1,1,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Ellioviricetes,Bunyavirales,,Arenaviridae,,Mammarenavirus,Mammarenavirus lujoense,,Negative_Bunya-Arena,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Ellioviricetes|Bunyavirales||Arenaviridae||Mammarenavirus|Mammarenavirus lujoense
YP_003090217_Morogoro_virus,Arenaviridae,0,1,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Ellioviricetes,Bunyavirales,,Arenaviridae,,Mammarenavirus,Mammarenavirus mopeiaense,,Negative_Bunya-Arena,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Ellioviricetes|Bunyavirales||Arenaviridae||Mammarenavirus|Mammarenavirus mopeiaense
YP_004933733_Luna_mammarenavirus,Arenaviridae,0,1,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Ellioviricetes,Bunyavirales,,Arenaviridae,,Mammarenavirus,Mammarenavirus lunaense,,Negative_Bunya-Arena,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Ellioviricetes|Bunyavirales||Arenaviridae||Mammarenavirus|Mammarenavirus lunaense
YP_006590089_Golden_Gate_virus,Arenaviridae,0,1,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Ellioviricetes,Bunyavirales,,Arenaviridae,,Reptarenavirus,Reptarenavirus aurei,,Negative_Bunya-Arena,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Ellioviricetes|Bunyavirales||Arenaviridae||Reptarenavirus|Reptarenavirus aurei
YP_006590093_CAS_virus,Arenaviridae,0,1,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Ellioviricetes,Bunyavirales,,Arenaviridae,,Reptarenavirus,Reptarenavirus californiae,,Negative_Bunya-Arena,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Ellioviricetes|Bunyavirales||Arenaviridae||Reptarenavirus|Reptarenavirus californiae
YP_006858709_Lunk_virus_NKS-1,Arenaviridae,0,1,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Ellioviricetes,Bunyavirales,,Arenaviridae,,Mammarenavirus,Mammarenavirus lunkense,,Negative_Bunya-Arena,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Ellioviricetes|Bunyavirales||Arenaviridae||Mammarenavirus|Mammarenavirus lunkense
YP_009019197_ROUT_virus,Arenaviridae,0,1,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Ellioviricetes,Bunyavirales,,Arenaviridae,,Reptarenavirus,Reptarenavirus rotterdamense,,Negative_Bunya-Arena,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Ellioviricetes|Bunyavirales||Arenaviridae||Reptarenavirus|Reptarenavirus rotterdamense
YP_009019199_Merino_Walk_mammarenavirus,Arenaviridae,0,1,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Ellioviricetes,Bunyavirales,,Arenaviridae,,Mammarenavirus,Mammarenavirus merinoense,,Negative_Bunya-Arena,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Ellioviricetes|Bunyavirales||Arenaviridae||Mammarenavirus|Mammarenavirus merinoense
YP_009019203_University_of_Helsinki_virus,Arenaviridae,0,1,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Ellioviricetes,Bunyavirales,,Arenaviridae,,Reptarenavirus,Reptarenavirus rotterdamense,,Negative_Bunya-Arena,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Ellioviricetes|Bunyavirales||Arenaviridae||Reptarenavirus|Reptarenavirus rotterdamense
YP_009113209_Wenzhou_mammarenavirus,Arenaviridae,0,1,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Ellioviricetes,Bunyavirales,,Arenaviridae,,Mammarenavirus,Mammarenavirus wenzhouense,,Negative_Bunya-Arena,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Ellioviricetes|Bunyavirales||Arenaviridae||Mammarenavirus|Mammarenavirus wenzhouense
YP_009116793_Gairo_mammarenavirus,Arenaviridae,0,1,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Ellioviricetes,Bunyavirales,,Arenaviridae,,Mammarenavirus,Mammarenavirus gairoense,,Negative_Bunya-Arena,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Ellioviricetes|Bunyavirales||Arenaviridae||Mammarenavirus|Mammarenavirus gairoense
YP_009141010_Okahandja_mammarenavirus,Arenaviridae,0,1,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Ellioviricetes,Bunyavirales,,Arenaviridae,,Mammarenavirus,Mammarenavirus okahandjaense,,Negative_Bunya-Arena,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Ellioviricetes|Bunyavirales||Arenaviridae||Mammarenavirus|Mammarenavirus okahandjaense
YP_009508476.1_Souris_virus_2215,Arenaviridae,0,1,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Ellioviricetes,Bunyavirales,,Arenaviridae,,Mammarenavirus,Mammarenavirus cameroonense,,Negative_Bunya-Arena,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Ellioviricetes|Bunyavirales||Arenaviridae||Mammarenavirus|Mammarenavirus cameroonense
YP_010086249.1_Xapuri_virus_2199,Arenaviridae,0,1,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Ellioviricetes,Bunyavirales,,Arenaviridae,,Mammarenavirus,Mammarenavirus xapuriense,,Negative_Bunya-Arena,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Ellioviricetes|Bunyavirales||Arenaviridae||Mammarenavirus|Mammarenavirus xapuriense
YP_025093_Pirital_mammarenavirus,Arenaviridae,0,1,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Ellioviricetes,Bunyavirales,,Arenaviridae,,Mammarenavirus,Mammarenavirus piritalense,,Negative_Bunya-Arena,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Ellioviricetes|Bunyavirales||Arenaviridae||Mammarenavirus|Mammarenavirus piritalense
YP_089660_Sabia_mammarenavirus,Arenaviridae,1,1,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Ellioviricetes,Bunyavirales,,Arenaviridae,,Mammarenavirus,Mammarenavirus brazilense,,Negative_Bunya-Arena,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Ellioviricetes|Bunyavirales||Arenaviridae||Mammarenavirus|Mammarenavirus brazilense
YP_138534_Pichinde_mammarenavirus,Arenaviridae,1,1,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Ellioviricetes,Bunyavirales,,Arenaviridae,,Mammarenavirus,Mammarenavirus caliense,,Negative_Bunya-Arena,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Ellioviricetes|Bunyavirales||Arenaviridae||Mammarenavirus|Mammarenavirus caliense
YP_170708_Mopeia_virus_AN20410,Arenaviridae,0,1,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Ellioviricetes,Bunyavirales,,Arenaviridae,,Mammarenavirus,Mammarenavirus mopeiaense,,Negative_Bunya-Arena,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Ellioviricetes|Bunyavirales||Arenaviridae||Mammarenavirus|Mammarenavirus mopeiaense
YP_516229_Mobala_mammarenavirus,Arenaviridae,0,1,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Ellioviricetes,Bunyavirales,,Arenaviridae,,Mammarenavirus,Mammarenavirus praomyidis,,Negative_Bunya-Arena,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Ellioviricetes|Bunyavirales||Arenaviridae||Mammarenavirus|Mammarenavirus praomyidis
YP_516233_Ippy_mammarenavirus,Arenaviridae,0,1,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Ellioviricetes,Bunyavirales,,Arenaviridae,,Mammarenavirus,Mammarenavirus ippyense,,Negative_Bunya-Arena,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Ellioviricetes|Bunyavirales||Arenaviridae||Mammarenavirus|Mammarenavirus ippyense
BHBJDX18821_Bunya-Arena_Beihai_shrimp_virus_3_RdRp,Negative_Bunya-Arena,0,0,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Ellioviricetes,Bunyavirales,,,,,,,Negative_Bunya-Arena,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Ellioviricetes|Bunyavirales|||||
BHCL81707_Bunya-Arena_Beihai_bunya-like_virus_4,Negative_Bunya-Arena,0,0,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Ellioviricetes,Bunyavirales,,,,,,,Negative_Bunya-Arena,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Ellioviricetes|Bunyavirales|||||
BHJJX25757_Bunya-Arena_Beihai_hermit_crab_virus_2_RdRp,Negative_Bunya-Arena,0,0,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Ellioviricetes,Bunyavirales,,,,,,,Negative_Bunya-Arena,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Ellioviricetes|Bunyavirales|||||
BHJP59844_Bunya-Arena_Beihai_bunya-like_virus_5,Negative_Bunya-Arena,0,0,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Ellioviricetes,Bunyavirales,,,,,,,Negative_Bunya-Arena,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Ellioviricetes|Bunyavirales|||||
BHNXC41490_Bunya-Arena_Beihai_sipunculid_worm_virus_7_RdRp,Negative_Bunya-Arena,0,0,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Ellioviricetes,Bunyavirales,,,,,,,Negative_Bunya-Arena,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Ellioviricetes|Bunyavirales|||||
BHTH16146_Bunya-Arena_Beihai_barnacle_virus_5,Negative_Bunya-Arena,0,0,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Ellioviricetes,Bunyavirales,,,,,,,Negative_Bunya-Arena,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Ellioviricetes|Bunyavirales|||||
BWBFG40849_Bunya-Arena_Beihai_bunya-like_virus_3,Negative_Bunya-Arena,0,0,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Ellioviricetes,Bunyavirales,,,,,,,Negative_Bunya-Arena,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Ellioviricetes|Bunyavirales|||||
CC41253_Bunya-Arena_Shuangao_Bedbug_Virus_1_KM817678,Negative_Bunya-Arena,0,0,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Ellioviricetes,Bunyavirales,,,,,,,Negative_Bunya-Arena,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Ellioviricetes|Bunyavirales|||||
CPQY18609_Bunya-Arena_Changping_bunya-like_virus_1,Negative_Bunya-Arena,0,0,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Ellioviricetes,Bunyavirales,,,,,,,Negative_Bunya-Arena,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Ellioviricetes|Bunyavirales|||||
GAKZ01048260_Procotyla_fluviatilis,Negative_Bunya-Arena,0,0,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Ellioviricetes,Bunyavirales,,,,,,,Negative_Bunya-Arena,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Ellioviricetes|Bunyavirales|||||
JMYJCC72012_Bunya-Arena_Jingmen_bunya-like_virus_1,Negative_Bunya-Arena,0,0,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Ellioviricetes,Bunyavirales,,,,,,,Negative_Bunya-Arena,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Ellioviricetes|Bunyavirales|||||
mosHB106551_Bunya-Arena_Jiangxia_Mosquito_Virus_2_KM817671,Negative_Bunya-Arena,0,0,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Ellioviricetes,Bunyavirales,,,,,,,Negative_Bunya-Arena,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Ellioviricetes|Bunyavirales|||||
mosZJ36691_Bunya-Arena_Shuangao_Mosquito_Virus_KM817682,Negative_Bunya-Arena,0,0,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Ellioviricetes,Bunyavirales,,,,,,,Negative_Bunya-Arena,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Ellioviricetes|Bunyavirales|||||
QJT73693.1_Botrytis_cinerea_bocivirus_1_Botrytis_cinerea_2211,Phenuiviridae,0,0,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Ellioviricetes,Bunyavirales,,Phenuiviridae,,,,,Negative_Bunya-Arena,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Ellioviricetes|Bunyavirales||Phenuiviridae|||
QJT73694.1_Botrytis_cinerea_negative-stranded_RNA_virus_6_Botrytis_cinerea_2258,Negative_Bunya-Arena,0,0,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Ellioviricetes,Bunyavirales,,,,,,,Negative_Bunya-Arena,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Ellioviricetes|Bunyavirales|||||
QJW70358.1_Erysiphe_necator_associated_negative-stranded_RNA_virus_9_Erysiphe_necator_2139,Negative_Bunya-Arena,0,0,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Ellioviricetes,Bunyavirales,,,,,,,Negative_Bunya-Arena,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Ellioviricetes|Bunyavirales|||||
QJW70360.1_Erysiphe_necator_associated_negative-stranded_RNA_virus_10_Erysiphe_necator_2160,Negative_Bunya-Arena,0,0,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Ellioviricetes,Bunyavirales,,,,,,,Negative_Bunya-Arena,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Ellioviricetes|Bunyavirales|||||
QTT60999.1_Phytophthora_condilina_negative_stranded_RNA_virus_7_Phytophthora_condilina_3101,Negative_Bunya-Arena,0,0,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Ellioviricetes,Bunyavirales,,,,,,,Negative_Bunya-Arena,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Ellioviricetes|Bunyavirales|||||
QTT61000.1_Phytophthora_condilina_negative_stranded_RNA_virus_8_Phytophthora_condilina_2802,Negative_Bunya-Arena,0,0,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Ellioviricetes,Bunyavirales,,,,,,,Negative_Bunya-Arena,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Ellioviricetes|Bunyavirales|||||
QTT61001.1_Phytophthora_condilina_negative_stranded_RNA_virus_9_Phytophthora_condilina_3038,Negative_Bunya-Arena,0,0,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Ellioviricetes,Bunyavirales,,,,,,,Negative_Bunya-Arena,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Ellioviricetes|Bunyavirales|||||
QTT61003.1_Phytophthora_condilina_negative_stranded_RNA_virus_11_Phytophthora_condilina_3008,Negative_Bunya-Arena,0,0,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Ellioviricetes,Bunyavirales,,,,,,,Negative_Bunya-Arena,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Ellioviricetes|Bunyavirales|||||
QVU28732.1_Yunnan_Paris_negative-stranded_virus_Paris_polyphylla_2181,Phenuiviridae,0,0,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Ellioviricetes,Bunyavirales,,Phenuiviridae,,,,,Negative_Bunya-Arena,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Ellioviricetes|Bunyavirales||Phenuiviridae|||
SCJXSX36597_Bunya-Arena_Beihai_sesarmid_crab_virus_5,Negative_Bunya-Arena,0,0,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Ellioviricetes,Bunyavirales,,,,,,,Negative_Bunya-Arena,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Ellioviricetes|Bunyavirales|||||
SCM26604_Bunya-Arena_Hubei_bunya-like_virus_12,Negative_Bunya-Arena,0,0,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Ellioviricetes,Bunyavirales,,,,,,,Negative_Bunya-Arena,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Ellioviricetes|Bunyavirales|||||
SCM50476_Bunya-Arena_Hubei_bunya-like_virus_5,Negative_Bunya-Arena,0,0,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Ellioviricetes,Bunyavirales,,,,,,,Negative_Bunya-Arena,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Ellioviricetes|Bunyavirales|||||
shrimp6186_Bunya-Arena_Whenzhou_Shrimp_Virus_2_KM817687,Negative_Bunya-Arena,0,0,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Ellioviricetes,Bunyavirales,,,,,,,Negative_Bunya-Arena,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Ellioviricetes|Bunyavirales|||||
SHWC0209c12636_Bunya-Arena_Shahe_bunya-like_virus_3,Negative_Bunya-Arena,0,0,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Ellioviricetes,Bunyavirales,,,,,,,Negative_Bunya-Arena,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Ellioviricetes|Bunyavirales|||||
SHWC0209c12661_Bunya-Arena_Shahe_bunya-like_virus_4,Negative_Bunya-Arena,0,0,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Ellioviricetes,Bunyavirales,,,,,,,Negative_Bunya-Arena,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Ellioviricetes|Bunyavirales|||||
SHWC0209c12742_Bunya-Arena_Shahe_bunya-like_virus_2_RdRp,Negative_Bunya-Arena,0,0,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Ellioviricetes,Bunyavirales,,,,,,,Negative_Bunya-Arena,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Ellioviricetes|Bunyavirales|||||
SHWC0209c12776_Bunya-Arena_Shahe_isopoda_virus_4_RdRp,Negative_Bunya-Arena,0,0,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Ellioviricetes,Bunyavirales,,,,,,,Negative_Bunya-Arena,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Ellioviricetes|Bunyavirales|||||
spider112000_Bunya-Arena_Shayang_Spider_Virus_2_KM817677,Negative_Bunya-Arena,0,0,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Ellioviricetes,Bunyavirales,,,,,,,Negative_Bunya-Arena,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Ellioviricetes|Bunyavirales|||||
